States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
Mizoram,0,0,0,Jumping red Lights,2017
Nagaland,0,0,0,Jumping red Lights,2017
Orissa,174,62,144,Jumping red Lights,2017
Punjab,84,67,97,Jumping red Lights,2017
Rajasthan,15,3,9,Jumping red Lights,2017
Sikkim,0,0,0,Jumping red Lights,2017
Tamil Nadu,2381,405,2515,Jumping red Lights,2017
Telangana,0,0,0,Jumping red Lights,2017
Tripura,0,0,0,Jumping red Lights,2017
Uttarakhand,14,4,15,Jumping red Lights,2017
Uttar Pradesh,912,444,800,Jumping red Lights,2017
West Bengal,122,68,128,Jumping red Lights,2017
A & N Islands,0,0,0,Jumping red Lights,2017
Chandigarh,4,1,3,Jumping red Lights,2017
D & N Haveli,0,0,0,Jumping red Lights,2017
Daman & Diu,0,0,0,Jumping red Lights,2017
Delhi,255,60,250,Jumping red Lights,2017
Lakshadweep,0,0,0,Jumping red Lights,2017
Puducherry,4,0,3,Jumping red Lights,2017
Andhra Pradesh,108,51,109,Use of Mobile Phones,2017
Arunachal Pradesh,0,0,0,Use of Mobile Phones,2017
Assam,200,74,199,Use of Mobile Phones,2017
Bihar,408,217,254,Use of Mobile Phones,2017
Chhattisgarh,127,28,203,Use of Mobile Phones,2017
Goa,0,0,0,Use of Mobile Phones,2017
Gujarat,169,59,155,Use of Mobile Phones,2017
Haryana,89,40,90,Use of Mobile Phones,2017
Himachal Pradesh,19,8,41,Use of Mobile Phones,2017
Jammu & Kashmir,1,0,0,Use of Mobile Phones,2017
Jharkhand,226,77,180,Use of Mobile Phones,2017
Karnataka,97,31,206,Use of Mobile Phones,2017
Kerala,1,0,1,Use of Mobile Phones,2017
Madhya Pradesh,717,114,1012,Use of Mobile Phones,2017
Maharashtra,745,282,535,Use of Mobile Phones,2017
Manipur,53,6,86,Use of Mobile Phones,2017
Meghalaya,99,21,42,Use of Mobile Phones,2017
Mizoram,0,0,0,Use of Mobile Phones,2017
Nagaland,23,0,0,Use of Mobile Phones,2017
Orissa,691,257,776,Use of Mobile Phones,2017
Punjab,86,52,93,Use of Mobile Phones,2017
Rajasthan,24,6,28,Use of Mobile Phones,2017
Sikkim,1,1,1,Use of Mobile Phones,2017
Tamil Nadu,1189,242,1285,Use of Mobile Phones,2017
Telangana,85,35,85,Use of Mobile Phones,2017
Tripura,0,0,0,Use of Mobile Phones,2017
Uttarakhand,41,22,39,Use of Mobile Phones,2017
Uttar Pradesh,3219,1512,2306,Use of Mobile Phones,2017
West Bengal,67,33,62,Use of Mobile Phones,2017
A & N Islands,0,0,0,Use of Mobile Phones,2017
Chandigarh,1,0,1,Use of Mobile Phones,2017
D & N Haveli,0,0,0,Use of Mobile Phones,2017
Daman & Diu,1,1,1,Use of Mobile Phones,2017
Delhi,39,3,40,Use of Mobile Phones,2017
Lakshadweep,0,0,0,Use of Mobile Phones,2017
Puducherry,0,0,0,Use of Mobile Phones,2017
Andhra Pradesh,17740,6196,18119,OverSpeeding,2018
Arunachal Pradesh,135,79,122,OverSpeeding,2018
Assam,2532,995,1436,OverSpeeding,2018
Bihar,8116,5809,5378,OverSpeeding,2018
Chhattisgarh,12813,4270,11824,OverSpeeding,2018
Goa,2853,216,1319,OverSpeeding,2018
Gujarat,16361,6988,14865,OverSpeeding,2018
Haryana,5922,2657,4923,OverSpeeding,2018
Himachal Pradesh,1445,536,2385,OverSpeeding,2018
Jammu & Kashmir,5915,971,7743,OverSpeeding,2018
Jharkhand,3064,2052,2288,OverSpeeding,2018
Karnataka,32269,8714,35886,OverSpeeding,2018
Kerala,29776,2985,33989,OverSpeeding,2018
Madhya Pradesh,39809,8635,42736,OverSpeeding,2018
Maharashtra,9956,3926,8683,OverSpeeding,2018
Manipur,90,21,159,OverSpeeding,2018
Meghalaya,64,43,20,OverSpeeding,2018
Mizoram,18,14,11,OverSpeeding,2018
Nagaland,199,15,135,OverSpeeding,2018
Orissa,7474,3644,7875,OverSpeeding,2018
Punjab,3335,2540,1621,OverSpeeding,2018
Rajasthan,20132,9618,19895,OverSpeeding,2018
Sikkim,71,33,44,OverSpeeding,2018
Tamil Nadu,46113,9224,53348,OverSpeeding,2018
Telangana,20890,6212,22414,OverSpeeding,2018
Tripura,426,163,551,OverSpeeding,2018
Uttarakhand,900,569,878,OverSpeeding,2018
Uttar Pradesh,13843,7098,9371,OverSpeeding,2018
West Bengal,4187,2326,4375,OverSpeeding,2018
A & N Islands,148,7,186,OverSpeeding,2018
Chandigarh,280,93,267,OverSpeeding,2018
D & N Haveli,78,51,65,OverSpeeding,2018
Daman & Diu,57,29,68,OverSpeeding,2018
Delhi,2866,748,2618,OverSpeeding,2018
Lakshadweep,1,1,1,OverSpeeding,2018
Puducherry,734,110,823,OverSpeeding,2018
Andhra Pradesh,1345,85,187,Drunken Driving,2018
Arunachal Pradesh,55,41,83,Drunken Driving,2018
Assam,377,130,355,Drunken Driving,2018
Bihar,10,3,18,Drunken Driving,2018
Chhattisgarh,216,55,179,Drunken Driving,2018
Goa,9,4,2,Drunken Driving,2018
Gujarat,106,15,118,Drunken Driving,2018
Haryana,474,251,543,Drunken Driving,2018
Himachal Pradesh,322,70,498,Drunken Driving,2018
Jammu & Kashmir,20,5,27,Drunken Driving,2018
Jharkhand,517,328,321,Drunken Driving,2018
Karnataka,139,22,164,Drunken Driving,2018
Kerala,157,25,169,Drunken Driving,2018
Madhya Pradesh,893,145,888,Drunken Driving,2018
Maharashtra,188,42,197,Drunken Driving,2018
Manipur,74,17,115,Drunken Driving,2018
Meghalaya,117,66,49,Drunken Driving,2018
Mizoram,16,13,15,Drunken Driving,2018
Nagaland,83,0,61,Drunken Driving,2018
Orissa,1220,555,1112,Drunken Driving,2018
