States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
Delhi,199,53,173,Use of Mobile Phones,2019
Lakshadweep,0,0,0,Use of Mobile Phones,2019
Puducherry,0,0,0,Use of Mobile Phones,2019
Andhra Pradesh,14716,5227,15192,OverSpeeding,2020
Arunachal Pradesh,64,42,94,OverSpeeding,2020
Assam,4586,1899,1696,OverSpeeding,2020
Bihar,3298,2713,2670,OverSpeeding,2020
Chhattisgarh,9996,4045,8868,OverSpeeding,2020
Goa,1845,181,766,OverSpeeding,2020
Gujarat,12449,5806,11122,OverSpeeding,2020
Haryana,6251,3011,5157,OverSpeeding,2020
Himachal Pradesh,1383,558,1959,OverSpeeding,2020
Jammu & Kashmir,4821,727,5804,OverSpeeding,2020
Jharkhand,3136,2282,2283,OverSpeeding,2020
Karnataka,28078,8055,32029,OverSpeeding,2020
Kerala,18100,1787,19998,OverSpeeding,2020
Madhya Pradesh,36997,9224,37945,OverSpeeding,2020
Maharashtra,19419,9152,15387,OverSpeeding,2020
Manipur,265,60,399,OverSpeeding,2020
Meghalaya,113,77,113,OverSpeeding,2020
Mizoram,22,14,31,OverSpeeding,2020
Nagaland,156,20,66,OverSpeeding,2020
Orissa,7064,3483,6333,OverSpeeding,2020
Punjab,2319,1805,1225,OverSpeeding,2020
Rajasthan,16131,7866,14041,OverSpeeding,2020
Sikkim,62,18,98,OverSpeeding,2020
Tamil Nadu,38354,6844,42081,OverSpeeding,2020
Telangana,16443,6109,16077,OverSpeeding,2020
Tripura,429,181,426,OverSpeeding,2020
Uttarakhand,710,450,523,OverSpeeding,2020
Uttar Pradesh,12875,7356,8197,OverSpeeding,2020
West Bengal,3017,1530,2974,OverSpeeding,2020
A & N Islands,26,2,31,OverSpeeding,2020
Chandigarh,147,50,139,OverSpeeding,2020
D & N Haveli,84,58,104,OverSpeeding,2020
Daman & Diu,,,0,OverSpeeding,2020
Delhi,1260,488,986,OverSpeeding,2020
Lakshadweep,1,0,1,OverSpeeding,2020
Puducherry,13,27,848,OverSpeeding,2020
Andhra Pradesh,77,29,75,Drunken Driving,2020
Arunachal Pradesh,18,9,24,Drunken Driving,2020
Assam,468,252,964,Drunken Driving,2020
Bihar,28,10,29,Drunken Driving,2020
Chhattisgarh,67,27,200,Drunken Driving,2020
Goa,8,0,6,Drunken Driving,2020
Gujarat,57,12,51,Drunken Driving,2020
Haryana,138,38,72,Drunken Driving,2020
Himachal Pradesh,76,20,115,Drunken Driving,2020
Jammu & Kashmir,0,0,0,Drunken Driving,2020
Jharkhand,430,256,229,Drunken Driving,2020
Karnataka,73,21,55,Drunken Driving,2020
Kerala,77,17,85,Drunken Driving,2020
Madhya Pradesh,989,237,1136,Drunken Driving,2020
Maharashtra,181,45,172,Drunken Driving,2020
Manipur,27,7,54,Drunken Driving,2020
Meghalaya,18,12,6,Drunken Driving,2020
Mizoram,18,19,17,Drunken Driving,2020
Nagaland,107,7,35,Drunken Driving,2020
Orissa,648,298,536,Drunken Driving,2020
Punjab,537,349,354,Drunken Driving,2020
Rajasthan,161,63,138,Drunken Driving,2020
Sikkim,28,6,53,Drunken Driving,2020
Tamil Nadu,696,70,776,Drunken Driving,2020
Telangana,794,203,796,Drunken Driving,2020
Tripura,3,0,6,Drunken Driving,2020
Uttarakhand,14,6,15,Drunken Driving,2020
Uttar Pradesh,2410,1256,1657,Drunken Driving,2020
West Bengal,20,10,14,Drunken Driving,2020
A & N Islands,33,4,24,Drunken Driving,2020
Chandigarh,5,1,3,Drunken Driving,2020
D & N Haveli,4,2,3,Drunken Driving,2020
Daman & Diu,0,0,0,Drunken Driving,2020
Delhi,143,36,139,Drunken Driving,2020
Lakshadweep,0,0,0,Drunken Driving,2020
Puducherry,2,0,6,Drunken Driving,2020
Andhra Pradesh,413,137,461,Driving On wrong side,2020
Arunachal Pradesh,23,7,23,Driving On wrong side,2020
Assam,544,152,887,Driving On wrong side,2020
Bihar,740,550,546,Driving On wrong side,2020
Chhattisgarh,497,109,511,Driving On wrong side,2020
Goa,229,18,70,Driving On wrong side,2020
Gujarat,543,208,545,Driving On wrong side,2020
Haryana,515,176,450,Driving On wrong side,2020
Himachal Pradesh,462,172,686,Driving On wrong side,2020
Jammu & Kashmir,30,1,59,Driving On wrong side,2020
Jharkhand,173,120,150,Driving On wrong side,2020
Karnataka,712,113,900,Driving On wrong side,2020
Kerala,1310,88,1520,Driving On wrong side,2020
Madhya Pradesh,2334,535,2484,Driving On wrong side,2020
Maharashtra,1113,489,905,Driving On wrong side,2020
Manipur,28,9,40,Driving On wrong side,2020
Meghalaya,19,14,17,Driving On wrong side,2020
Mizoram,5,5,13,Driving On wrong side,2020
Nagaland,63,5,37,Driving On wrong side,2020
Orissa,749,296,803,Driving On wrong side,2020
Punjab,990,714,610,Driving On wrong side,2020
Rajasthan,1205,533,1161,Driving On wrong side,2020
Sikkim,33,13,45,Driving On wrong side,2020
Tamil Nadu,2467,373,2887,Driving On wrong side,2020
Telangana,160,40,147,Driving On wrong side,2020
Tripura,34,11,38,Driving On wrong side,2020
Uttarakhand,81,48,66,Driving On wrong side,2020
Uttar Pradesh,4253,2270,2905,Driving On wrong side,2020
West Bengal,83,44,99,Driving On wrong side,2020
A & N Islands,4,0,5,Driving On wrong side,2020
Chandigarh,3,1,4,Driving On wrong side,2020
D & N Haveli,4,0,7,Driving On wrong side,2020
Daman & Diu,0,0,0,Driving On wrong side,2020
Delhi,287,60,274,Driving On wrong side,2020
Lakshadweep,0,0,0,Driving On wrong side,2020
Puducherry,122,21,126,Driving On wrong side,2020
Andhra Pradesh,17,2,0,Jumping red Lights,2020
Arunachal Pradesh,0,0,0,Jumping red Lights,2020
Assam,157,36,405,Jumping red Lights,2020
Bihar,0,0,0,Jumping red Lights,2020
Chhattisgarh,67,4,44,Jumping red Lights,2020
Goa,5,1,1,Jumping red Lights,2020
Gujarat,28,12,17,Jumping red Lights,2020
Haryana,34,11,23,Jumping red Lights,2020
Himachal Pradesh,0,0,0,Jumping red Lights,2020
Jammu & Kashmir,0,0,31,Jumping red Lights,2020
Jharkhand,69,42,49,Jumping red Lights,2020
Karnataka,33,3,30,Jumping red Lights,2020
Kerala,26,2,39,Jumping red Lights,2020
Madhya Pradesh,375,65,366,Jumping red Lights,2020
Maharashtra,2,0,2,Jumping red Lights,2020
Manipur,0,0,0,Jumping red Lights,2020
Meghalaya,0,0,0,Jumping red Lights,2020
Mizoram,0,0,0,Jumping red Lights,2020
Nagaland,0,0,0,Jumping red Lights,2020
Orissa,56,15,43,Jumping red Lights,2020
Punjab,266,186,201,Jumping red Lights,2020
Rajasthan,21,7,15,Jumping red Lights,2020
Sikkim,0,0,0,Jumping red Lights,2020
Tamil Nadu,442,56,576,Jumping red Lights,2020
Telangana,91,12,88,Jumping red Lights,2020
Tripura,0,0,0,Jumping red Lights,2020
Uttarakhand,0,0,0,Jumping red Lights,2020
Uttar Pradesh,761,330,505,Jumping red Lights,2020
West Bengal,11,1,11,Jumping red Lights,2020
A & N Islands,0,0,0,Jumping red Lights,2020
Chandigarh,4,1,2,Jumping red Lights,2020
D & N Haveli,0,0,0,Jumping red Lights,2020
Daman & Diu,,,0,Jumping red Lights,2020
Delhi,252,78,228,Jumping red Lights,2020
Lakshadweep,0,0,0,Jumping red Lights,2020
Puducherry,0,2,0,Jumping red Lights,2020
Andhra Pradesh,143,38,188,Use of Mobile Phones,2020
Arunachal Pradesh,3,1,5,Use of Mobile Phones,2020
Assam,198,51,590,Use of Mobile Phones,2020
Bihar,163,89,174,Use of Mobile Phones,2020
Chhattisgarh,21,10,18,Use of Mobile Phones,2020
Goa,0,0,0,Use of Mobile Phones,2020
Gujarat,79,11,59,Use of Mobile Phones,2020
Haryana,421,166,306,Use of Mobile Phones,2020
Himachal Pradesh,25,8,18,Use of Mobile Phones,2020
Jammu & Kashmir,9,0,0,Use of Mobile Phones,2020
Jharkhand,96,60,69,Use of Mobile Phones,2020
Karnataka,38,4,64,Use of Mobile Phones,2020
Kerala,23,2,25,Use of Mobile Phones,2020
Madhya Pradesh,684,143,800,Use of Mobile Phones,2020
Maharashtra,10,3,8,Use of Mobile Phones,2020
Manipur,2,0,5,Use of Mobile Phones,2020
Meghalaya,4,1,3,Use of Mobile Phones,2020
Mizoram,2,1,2,Use of Mobile Phones,2020
Nagaland,0,0,0,Use of Mobile Phones,2020
Orissa,297,120,301,Use of Mobile Phones,2020
Punjab,407,295,159,Use of Mobile Phones,2020
Rajasthan,68,45,51,Use of Mobile Phones,2020
Sikkim,0,0,0,Use of Mobile Phones,2020
Tamil Nadu,717,83,900,Use of Mobile Phones,2020
Telangana,22,4,23,Use of Mobile Phones,2020
Tripura,0,0,0,Use of Mobile Phones,2020
Uttarakhand,0,0,0,Use of Mobile Phones,2020
Uttar Pradesh,3232,1758,2131,Use of Mobile Phones,2020
West Bengal,3,1,2,Use of Mobile Phones,2020
A & N Islands,0,0,0,Use of Mobile Phones,2020
Chandigarh,0,0,0,Use of Mobile Phones,2020
D & N Haveli,0,0,0,Use of Mobile Phones,2020
Daman & Diu,0,0,0,Use of Mobile Phones,2020
Delhi,86,23,74,Use of Mobile Phones,2020
Lakshadweep,0,0,0,Use of Mobile Phones,2020
Puducherry,0,0,5,Use of Mobile Phones,2020
