,accidents,killed,injured,voilation,year,state
147,408.0,217.0,254.0,5,2017,3
148,127.0,28.0,203.0,5,2017,4
149,0.0,0.0,0.0,5,2017,5
150,169.0,59.0,155.0,5,2017,6
151,89.0,40.0,90.0,5,2017,7
152,19.0,8.0,41.0,5,2017,8
153,1.0,0.0,0.0,5,2017,9
154,226.0,77.0,180.0,5,2017,10
155,97.0,31.0,206.0,5,2017,11
156,1.0,0.0,1.0,5,2017,12
157,717.0,114.0,1012.0,5,2017,13
158,745.0,282.0,535.0,5,2017,14
159,53.0,6.0,86.0,5,2017,15
160,99.0,21.0,42.0,5,2017,16
161,0.0,0.0,0.0,5,2017,17
162,23.0,0.0,0.0,5,2017,18
163,691.0,257.0,776.0,5,2017,19
164,86.0,52.0,93.0,5,2017,20
165,24.0,6.0,28.0,5,2017,21
166,1.0,1.0,1.0,5,2017,22
167,1977.39,242.0,1982.1,5,2017,23
168,85.0,35.0,85.0,5,2017,24
169,0.0,0.0,0.0,5,2017,25
170,41.0,22.0,39.0,5,2017,26
171,1977.39,643.84,1982.1,5,2017,27
172,67.0,33.0,62.0,5,2017,28
173,0.0,0.0,0.0,5,2017,29
174,1.0,0.0,1.0,5,2017,30
175,0.0,0.0,0.0,5,2017,31
176,1.0,1.0,1.0,5,2017,32
177,39.0,3.0,40.0,5,2017,33
178,0.0,0.0,0.0,5,2017,34
179,0.0,0.0,0.0,5,2017,35
180,1977.39,643.84,1982.1,1,2018,0
181,135.0,79.0,122.0,1,2018,1
182,1977.39,643.84,1982.1,1,2018,2
183,1977.39,643.84,1982.1,1,2018,3
184,1977.39,643.84,1982.1,1,2018,4
185,1977.39,216.0,1982.1,1,2018,5
186,1977.39,643.84,1982.1,1,2018,6
187,1977.39,643.84,1982.1,1,2018,7
188,1977.39,643.84,1982.1,1,2018,8
189,1977.39,643.84,1982.1,1,2018,9
190,1977.39,643.84,1982.1,1,2018,10
191,1977.39,643.84,1982.1,1,2018,11
192,1977.39,643.84,1982.1,1,2018,12
193,1977.39,643.84,1982.1,1,2018,13
194,1977.39,643.84,1982.1,1,2018,14
195,90.0,21.0,159.0,1,2018,15
196,64.0,43.0,20.0,1,2018,16
197,18.0,14.0,11.0,1,2018,17
198,199.0,15.0,135.0,1,2018,18
199,1977.39,643.84,1982.1,1,2018,19
200,1977.39,643.84,1982.1,1,2018,20
201,1977.39,643.84,1982.1,1,2018,21
202,71.0,33.0,44.0,1,2018,22
203,1977.39,643.84,1982.1,1,2018,23
204,1977.39,643.84,1982.1,1,2018,24
205,426.0,163.0,551.0,1,2018,25
206,900.0,643.84,878.0,1,2018,26
207,1977.39,643.84,1982.1,1,2018,27
208,1977.39,643.84,1982.1,1,2018,28
209,148.0,7.0,186.0,1,2018,29
210,280.0,93.0,267.0,1,2018,30
211,78.0,51.0,65.0,1,2018,31
212,57.0,29.0,68.0,1,2018,32
213,1977.39,643.84,1982.1,1,2018,33
214,1.0,1.0,1.0,1,2018,34
215,734.0,110.0,823.0,1,2018,35
216,1977.39,85.0,187.0,2,2018,0
217,55.0,41.0,83.0,2,2018,1
218,377.0,130.0,355.0,2,2018,2
219,10.0,3.0,18.0,2,2018,3
220,216.0,55.0,179.0,2,2018,4
221,9.0,4.0,2.0,2,2018,5
222,106.0,15.0,118.0,2,2018,6
223,474.0,251.0,543.0,2,2018,7
224,322.0,70.0,498.0,2,2018,8
225,20.0,5.0,27.0,2,2018,9
226,517.0,643.84,321.0,2,2018,10
227,139.0,22.0,164.0,2,2018,11
228,157.0,25.0,169.0,2,2018,12
229,893.0,145.0,888.0,2,2018,13
230,188.0,42.0,197.0,2,2018,14
231,74.0,17.0,115.0,2,2018,15
232,117.0,66.0,49.0,2,2018,16
233,16.0,13.0,15.0,2,2018,17
234,83.0,0.0,61.0,2,2018,18
235,1977.39,643.84,1982.1,2,2018,19
236,112.0,85.0,62.0,2,2018,20
237,146.0,52.0,129.0,2,2018,21
238,2.0,2.0,0.0,2,2018,22
239,1977.39,225.0,1982.1,2,2018,23
240,182.0,24.0,194.0,2,2018,24
241,28.0,8.0,47.0,2,2018,25
242,20.0,16.0,42.0,2,2018,26
243,1977.39,643.84,1982.1,2,2018,27
244,79.0,6.0,60.0,2,2018,28
245,20.0,0.0,19.0,2,2018,29
246,12.0,0.0,7.0,2,2018,30
247,1.0,0.0,0.0,2,2018,31
248,8.0,0.0,16.0,2,2018,32
249,333.0,72.0,292.0,2,2018,33
250,0.0,0.0,0.0,2,2018,34
251,14.0,2.0,22.0,2,2018,35
252,740.0,192.0,847.0,3,2018,0
253,8.0,6.0,6.0,3,2018,1
254,1977.39,643.84,1982.1,3,2018,2
255,1977.39,643.84,1982.1,3,2018,3
256,740.0,252.0,620.0,3,2018,4
257,90.0,4.0,44.0,3,2018,5
258,959.0,643.84,925.0,3,2018,6
259,1055.0,643.84,1982.1,3,2018,7
260,270.0,60.0,461.0,3,2018,8
261,13.0,4.0,23.0,3,2018,9
262,401.0,299.0,269.0,3,2018,10
263,1977.39,262.0,1982.1,3,2018,11
264,1977.39,115.0,1982.1,3,2018,12
265,1977.39,643.84,1982.1,3,2018,13
266,1977.39,643.84,924.0,3,2018,14
267,24.0,6.0,67.0,3,2018,15
268,49.0,11.0,33.0,3,2018,16
269,5.0,3.0,10.0,3,2018,17
270,72.0,8.0,55.0,3,2018,18
271,1002.0,643.84,1982.1,3,2018,19
272,1055.0,643.84,678.0,3,2018,20
273,196.0,72.0,172.0,3,2018,21
274,12.0,4.0,11.0,3,2018,22
275,1977.39,643.84,1982.1,3,2018,23
276,200.0,32.0,206.0,3,2018,24
277,48.0,18.0,81.0,3,2018,25
278,173.0,105.0,167.0,3,2018,26
279,1977.39,643.84,1982.1,3,2018,27
280,194.0,101.0,233.0,3,2018,28
281,16.0,1.0,11.0,3,2018,29
282,1.0,0.0,3.0,3,2018,30
283,1.0,3.0,1.0,3,2018,31
284,11.0,6.0,10.0,3,2018,32
285,460.0,69.0,483.0,3,2018,33
286,2.0,0.0,2.0,3,2018,34
287,435.0,73.0,116.0,3,2018,35
288,48.0,1.0,49.0,4,2018,0
289,0.0,0.0,0.0,4,2018,1
290,159.0,62.0,149.0,4,2018,2
291,130.0,79.0,99.0,4,2018,3
292,37.0,3.0,28.0,4,2018,4
293,1.0,0.0,2.0,4,2018,5
294,181.0,53.0,192.0,4,2018,6
295,512.0,218.0,578.0,4,2018,7
296,0.0,0.0,0.0,4,2018,8
297,26.0,4.0,44.0,4,2018,9
298,47.0,31.0,34.0,4,2018,10
299,69.0,4.0,61.0,4,2018,11
300,105.0,8.0,113.0,4,2018,12
301,99.0,8.0,78.0,4,2018,13
302,98.0,16.0,94.0,4,2018,14
303,10.0,2.0,21.0,4,2018,15
304,8.0,6.0,3.0,4,2018,16
305,0.0,0.0,0.0,4,2018,17
306,0.0,0.0,0.0,4,2018,18
307,218.0,88.0,187.0,4,2018,19
308,240.0,161.0,117.0,4,2018,20
309,12.0,6.0,11.0,4,2018,21
310,0.0,0.0,0.0,4,2018,22
311,939.0,290.0,999.0,4,2018,23
312,54.0,10.0,49.0,4,2018,24
313,0.0,0.0,0.0,4,2018,25
314,2.0,1.0,11.0,4,2018,26
315,679.0,284.0,560.0,4,2018,27
316,53.0,26.0,43.0,4,2018,28
317,0.0,0.0,0.0,4,2018,29
318,10.0,1.0,13.0,4,2018,30
319,0.0,0.0,0.0,4,2018,31
320,0.0,0.0,0.0,4,2018,32
321,658.0,176.0,583.0,4,2018,33
322,0.0,0.0,0.0,4,2018,34
323,46.0,7.0,18.0,4,2018,35
324,82.0,7.0,70.0,5,2018,0
325,51.0,32.0,64.0,5,2018,1
326,112.0,22.0,108.0,5,2018,2
327,103.0,61.0,95.0,5,2018,3
328,58.0,12.0,64.0,5,2018,4
329,0.0,0.0,0.0,5,2018,5
330,460.0,187.0,444.0,5,2018,6
331,474.0,269.0,474.0,5,2018,7
332,0.0,0.0,0.0,5,2018,8
333,4.0,0.0,8.0,5,2018,9
334,310.0,206.0,130.0,5,2018,10
335,173.0,44.0,125.0,5,2018,11
336,26.0,4.0,24.0,5,2018,12
337,465.0,61.0,496.0,5,2018,13
338,187.0,55.0,216.0,5,2018,14
339,29.0,2.0,45.0,5,2018,15
340,14.0,8.0,5.0,5,2018,16
341,0.0,0.0,0.0,5,2018,17
342,0.0,0.0,0.0,5,2018,18
343,611.0,260.0,647.0,5,2018,19
344,252.0,158.0,134.0,5,2018,20
345,39.0,18.0,67.0,5,2018,21
346,4.0,3.0,3.0,5,2018,22
347,1977.39,252.0,1982.1,5,2018,23
348,17.0,3.0,26.0,5,2018,24
349,0.0,0.0,0.0,5,2018,25
350,0.0,0.0,0.0,5,2018,26
351,1977.39,643.84,1982.1,5,2018,27
352,19.0,50.0,26.0,5,2018,28
353,0.0,0.0,0.0,5,2018,36
354,0.0,0.0,0.0,5,2018,30
355,0.0,0.0,0.0,5,2018,31
356,0.0,0.0,0.0,5,2018,32
357,244.0,37.0,225.0,5,2018,33
358,0.0,0.0,0.0,5,2018,34
359,0.0,0.0,0.0,5,2018,35
360,1977.39,643.84,1982.1,1,2019,0
361,76.0,41.0,89.0,1,2019,1
362,1977.39,643.84,1982.1,1,2019,2
363,1977.39,643.84,1982.1,1,2019,3
364,1977.39,643.84,1982.1,1,2019,4
365,1977.39,233.0,1982.1,1,2019,5
366,1977.39,643.84,1982.1,1,2019,6
367,1977.39,643.84,1982.1,1,2019,7
368,1977.39,643.84,1982.1,1,2019,8
369,1977.39,643.84,1982.1,1,2019,9
370,1977.39,643.84,1982.1,1,2019,10
371,1977.39,643.84,1982.1,1,2019,11
372,1977.39,643.84,1982.1,1,2019,12
373,1977.39,643.84,1982.1,1,2019,13
374,1977.39,643.84,1982.1,1,2019,14
375,378.0,97.0,597.0,1,2019,15
376,172.0,61.0,82.0,1,2019,16
377,32.0,27.0,31.0,1,2019,17
378,131.0,12.0,113.0,1,2019,18
379,1977.39,643.84,1982.1,1,2019,19
380,1977.39,643.84,829.0,1,2019,20
381,1977.39,643.84,1982.1,1,2019,21
382,77.0,32.0,97.0,1,2019,22
383,1977.39,643.84,1982.1,1,2019,23
384,1977.39,643.84,1982.1,1,2019,24
385,588.0,209.0,735.0,1,2019,25
386,983.0,643.84,932.0,1,2019,26
387,1977.39,643.84,1982.1,1,2019,27
388,1977.39,643.84,1982.1,1,2019,28
389,40.0,3.0,38.0,1,2019,29
390,282.0,99.0,259.0,1,2019,30
391,67.0,49.0,105.0,1,2019,31
392,61.0,27.0,66.0,1,2019,32
393,1977.39,643.84,1982.1,1,2019,33
394,0.0,0.0,0.0,1,2019,34
395,908.0,121.0,1018.0,1,2019,35
396,127.0,43.0,144.0,2,2019,0
397,46.0,27.0,70.0,2,2019,1
398,279.0,74.0,306.0,2,2019,2
399,0.0,0.0,0.0,2,2019,3
400,134.0,34.0,112.0,2,2019,4
401,6.0,1.0,0.0,2,2019,5
402,47.0,17.0,34.0,2,2019,6
403,299.0,132.0,280.0,2,2019,7
404,75.0,24.0,106.0,2,2019,8
405,25.0,5.0,44.0,2,2019,9
406,686.0,643.84,382.0,2,2019,10
407,132.0,37.0,166.0,2,2019,11
408,104.0,20.0,103.0,2,2019,12
409,1030.0,241.0,1982.1,2,2019,13
410,258.0,53.0,280.0,2,2019,14
411,81.0,12.0,146.0,2,2019,15
412,23.0,4.0,15.0,2,2019,16
413,17.0,12.0,10.0,2,2019,17
414,132.0,7.0,89.0,2,2019,18
