,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year,States
166,893.0,145.0,888,2,2018,24
167,188.0,42.0,197,2,2018,25
168,74.0,17.0,115,2,2018,2
169,117.0,66.0,49,2,2018,3
170,16.0,13.0,15,2,2018,4
171,83.0,0.0,61,2,2018,5
172,112.0,85.0,62,2,2018,26
173,146.0,52.0,129,2,2018,27
174,2.0,2.0,0,2,2018,6
175,182.0,24.0,194,2,2018,28
176,28.0,8.0,47,2,2018,7
177,20.0,16.0,42,2,2018,29
178,79.0,6.0,60,2,2018,30
179,20.0,0.0,19,2,2018,8
180,12.0,0.0,7,2,2018,9
181,1.0,0.0,0,2,2018,10
182,8.0,0.0,16,2,2018,11
183,333.0,72.0,292,2,2018,31
184,0.0,0.0,0,2,2018,12
185,14.0,2.0,22,2,2018,13
186,740.0,192.0,847,3,2018,33
187,8.0,6.0,6,3,2018,0
188,740.0,252.0,620,3,2018,16
189,90.0,4.0,44,3,2018,17
190,959.0,352.0,925,3,2018,18
191,1055.0,533.0,1036,3,2018,19
192,270.0,60.0,461,3,2018,1
193,13.0,4.0,23,3,2018,20
194,401.0,299.0,269,3,2018,21
195,24.0,6.0,67,3,2018,2
196,49.0,11.0,33,3,2018,3
197,5.0,3.0,10,3,2018,4
198,72.0,8.0,55,3,2018,5
199,1002.0,374.0,1198,3,2018,32
200,1055.0,759.0,678,3,2018,26
201,196.0,72.0,172,3,2018,27
202,12.0,4.0,11,3,2018,6
203,200.0,32.0,206,3,2018,28
204,48.0,18.0,81,3,2018,7
205,173.0,105.0,167,3,2018,29
206,194.0,101.0,233,3,2018,30
207,16.0,1.0,11,3,2018,8
208,1.0,0.0,3,3,2018,9
209,1.0,3.0,1,3,2018,10
210,11.0,6.0,10,3,2018,11
211,460.0,69.0,483,3,2018,31
212,2.0,0.0,2,3,2018,12
213,435.0,73.0,116,3,2018,13
214,48.0,1.0,49,4,2018,33
215,0.0,0.0,0,4,2018,0
216,159.0,62.0,149,4,2018,14
217,130.0,79.0,99,4,2018,15
218,37.0,3.0,28,4,2018,16
219,1.0,0.0,2,4,2018,17
220,181.0,53.0,192,4,2018,18
221,512.0,218.0,578,4,2018,19
222,0.0,0.0,0,4,2018,1
223,26.0,4.0,44,4,2018,20
224,47.0,31.0,34,4,2018,21
225,69.0,4.0,61,4,2018,22
226,105.0,8.0,113,4,2018,23
227,99.0,8.0,78,4,2018,24
228,98.0,16.0,94,4,2018,25
229,10.0,2.0,21,4,2018,2
230,8.0,6.0,3,4,2018,3
231,0.0,0.0,0,4,2018,4
232,0.0,0.0,0,4,2018,5
233,218.0,88.0,187,4,2018,32
234,240.0,161.0,117,4,2018,26
235,12.0,6.0,11,4,2018,27
236,0.0,0.0,0,4,2018,6
237,939.0,290.0,999,4,2018,35
238,54.0,10.0,49,4,2018,28
239,0.0,0.0,0,4,2018,7
240,2.0,1.0,11,4,2018,29
241,679.0,284.0,560,4,2018,34
242,53.0,26.0,43,4,2018,30
243,0.0,0.0,0,4,2018,8
244,10.0,1.0,13,4,2018,9
245,0.0,0.0,0,4,2018,10
246,0.0,0.0,0,4,2018,11
247,658.0,176.0,583,4,2018,31
248,0.0,0.0,0,4,2018,12
249,46.0,7.0,18,4,2018,13
250,82.0,7.0,70,5,2018,33
251,51.0,32.0,64,5,2018,0
252,112.0,22.0,108,5,2018,14
253,103.0,61.0,95,5,2018,15
254,58.0,12.0,64,5,2018,16
255,0.0,0.0,0,5,2018,17
256,460.0,187.0,444,5,2018,18
257,474.0,269.0,474,5,2018,19
258,0.0,0.0,0,5,2018,1
259,4.0,0.0,8,5,2018,20
260,310.0,206.0,130,5,2018,21
261,173.0,44.0,125,5,2018,22
262,26.0,4.0,24,5,2018,23
263,465.0,61.0,496,5,2018,24
264,187.0,55.0,216,5,2018,25
265,29.0,2.0,45,5,2018,2
266,14.0,8.0,5,5,2018,3
267,0.0,0.0,0,5,2018,4
268,0.0,0.0,0,5,2018,5
269,611.0,260.0,647,5,2018,32
270,252.0,158.0,134,5,2018,26
271,39.0,18.0,67,5,2018,27
272,4.0,3.0,3,5,2018,6
273,17.0,3.0,26,5,2018,28
274,0.0,0.0,0,5,2018,7
275,0.0,0.0,0,5,2018,29
276,19.0,50.0,26,5,2018,30
277,0.0,0.0,0,5,2018,36
278,0.0,0.0,0,5,2018,9
279,0.0,0.0,0,5,2018,10
280,0.0,0.0,0,5,2018,11
281,244.0,37.0,225,5,2018,31
282,0.0,0.0,0,5,2018,12
